seed,aleatoric variance,aleatoric variance error,epistemic variance,variance,variance error
0,3.3987732876994414e-06,7.294978132676988e-08,2.09355892621943e-08,3.4287452308490174e-06,7.60905862762229e-08
1,3.402005859243218e-06,6.634394367210916e-08,2.0849615367524166e-08,3.4258423511346336e-06,6.244927419629676e-08
2,3.414053480810253e-06,8.133843465429891e-08,4.154478361328984e-08,3.4355900879745604e-06,6.310415301413741e-08
3,3.3913277093233773e-06,8.01958250917778e-08,1.5318407875497542e-08,3.4049046462314436e-06,7.524228351485363e-08
4,3.3901735605468275e-06,7.315198757851249e-08,9.468164918757793e-09,3.381650913070189e-06,8.574890131285429e-08
5,3.3817175335570937e-06,8.857703193143607e-08,1.4179641460998482e-08,3.4043603136524325e-06,8.377372040513364e-08
6,3.3769088076951448e-06,9.318249993839345e-08,5.680553361031571e-09,3.381188207640662e-06,9.27395973349121e-08
7,3.3870464903884567e-06,7.722006500898715e-08,2.4047086100154047e-08,3.4153558772231918e-06,7.031383830735649e-08
8,3.3518836062285118e-06,1.1654947940087368e-07,1.8455628136848645e-08,3.3917926884896588e-06,9.540853085354684e-08
9,3.447348035479081e-06,4.5570359930025006e-08,2.5805027448200235e-08,3.4550882901385194e-06,5.8025516835868984e-08
10,3.378790552233113e-06,9.414392110329572e-08,9.916799825759881e-09,3.392421149328584e-06,9.304734760462452e-08
11,3.4296008379897103e-06,5.974924732754516e-08,3.025043326942978e-08,3.4347497148701223e-06,7.157989756478855e-08
12,3.3996361707977485e-06,6.286275322509027e-08,1.6873654473670285e-08,3.4220342968183104e-06,6.905077754026934e-08
13,3.4032539133477258e-06,6.736741653412537e-08,1.815780237279796e-08,3.35703316522995e-06,1.0699636732169893e-07
14,3.393975021026563e-06,8.258358974444491e-08,9.916186982650288e-09,3.4116992537747137e-06,7.44024362120399e-08
15,3.3820092539826874e-06,9.799597222581724e-08,2.9730143680239962e-08,3.391490054127644e-06,9.84229018285987e-08
16,3.3889982660184614e-06,8.052567324057236e-08,2.2379522235382865e-08,3.3677847568469588e-06,9.557393809700443e-08
17,3.3860967505461304e-06,8.49674179903559e-08,1.1044981818031374e-08,3.3810797503974754e-06,9.237992060207034e-08
18,3.3948147120099748e-06,8.148160901555457e-08,1.1519522225000856e-08,3.4146262350986945e-06,7.457692419166051e-08
19,3.4243118989252253e-06,5.565735960999518e-08,6.0544995683642355e-09,3.410571935091866e-06,7.986695038653124e-08
20,3.392947974134586e-06,9.48490708196914e-08,1.7612153513368867e-08,3.3916044230863918e-06,9.810108281271823e-08
