seed,hidden_dimension,train_loss,hold_loss
0,16,0.004213330513323323,0.00273719428581275
1,16,0.004677518405512018,0.002712990715448106
2,16,0.004127022573374365,0.0025422240640332293
3,16,0.004118526164677653,0.002707560732464315
4,16,0.0048566720085215015,0.0028150451713145363
5,16,0.004630006466790694,0.0027927421099015457
6,16,0.00436415299007022,0.0028286773202132794
7,16,0.0043988463991340935,0.0026471304559325614
8,16,0.004377174939744302,0.002843628061967623
0,32,0.00341656094370974,0.0023246718347845557
1,32,0.0034968368440211786,0.0024147811414752716
2,32,0.0034229674378073857,0.0022464833636566812
3,32,0.0039288998850955815,0.0024269154203010327
4,32,0.0032090822761456942,0.0023007543185202656
5,32,0.0036917389609131897,0.0023935089908551904
6,32,0.004170837151427525,0.0024743618750764514
7,32,0.0032325396011134624,0.002415118815758514
8,32,0.003231604548022746,0.002292571590894473
0,48,0.003045736045473517,0.002275735895703106
1,48,0.0032411429485054823,0.0026346564032169823
2,48,0.0031556135049096703,0.0021213425971089907
3,48,0.0030800711309663564,0.0020070569534685755
4,48,0.0036003299690618392,0.0025711635683018643
5,48,0.002649752827653944,0.0019618413565271413
6,48,0.0036537680867093827,0.0021950419069519988
7,48,0.0033012328800828554,0.0023605765051283047
8,48,0.0033917751960365816,0.002249816677949812
0,64,0.0028402578685727876,0.002040208460718056
1,64,0.003538892820723768,0.002342684717255454
2,64,0.0029698721156109636,0.0020658316331027497
3,64,0.0029394058458035548,0.00192844635195456
4,64,0.003610362549197438,0.0022500762616448405
5,64,0.00322603399382538,0.0021996878828643533
6,64,0.002775565154731705,0.0022261772335645195
7,64,0.003464336802553081,0.0022501230471127197
8,64,0.0031926314694133207,0.0020716450167129474
0,80,0.003283425674066456,0.002132014740665197
1,80,0.0030202946388740272,0.0021064118560284585
2,80,0.00307865004676545,0.0020900468570455456
3,80,0.002557101818966807,0.0020048750599707746
4,80,0.0031629962158585658,0.002088302505155077
5,80,0.0034862284856673623,0.002159793004862647
6,80,0.0027136412198127137,0.0018895214800660131
7,80,0.002865897004634501,0.0019794029143510353
8,80,0.00337877893813523,0.0022821757946523183
0,96,0.002733923054573373,0.0019634025121281627
1,96,0.00295743066094096,0.0023832525878604424
2,96,0.0024909006399616573,0.0018181067607707226
3,96,0.0030096079207885306,0.002052244110807947
4,96,0.0027065410893723704,0.001885586834672718
5,96,0.0028704136958634875,0.0022781922820335515
6,96,0.0023349621762917966,0.0017555174722417648
7,96,0.003145255469215844,0.002098962658194759
8,96,0.0029389828356711683,0.002003960854785703
0,112,0.003159781181386876,0.002144757794425717
1,112,0.003377761793079154,0.002122867633205901
2,112,0.0027991085458268384,0.0017718015310034581
3,112,0.002513326620692935,0.0019330532247375974
4,112,0.002846995819129258,0.00210450627715956
5,112,0.002505071881598038,0.0017952169424894514
6,112,0.003001022997313625,0.00197705003455639
7,112,0.0028248652432442153,0.0020129366808952836
8,112,0.0030571633698967433,0.0026731246778288914
0,128,0.0036953543268739056,0.0023935130559808618
1,128,0.0026205007158659364,0.0019130524192310751
2,128,0.0029366779695561233,0.002198111411579301
3,128,0.0023183015737513447,0.0019290510082341126
4,128,0.0032759483252914243,0.002243880267620145
5,128,0.0026755236059118853,0.0019845369242408994
6,128,0.0023592377474388423,0.0020815802815624717
7,128,0.003170922667144702,0.002230609277472097
8,128,0.0032533421047059702,0.002258487571343051
